Date,Life Expectancy,CO2 Emission (Per capita),Unemployment Rate,Education Spending,GNI (per capita),Heart Disease Rate
2000,72.516,5.3552947,3,21.1886,3490,29287.67
2001,72.704,5.559729,3.53,21.3907,3570,30573.01
2002,72.892,5.4690075,3.48,24.3485,3800,31972
2003,73.08,6.1999974,3.61,25.9036,4160,33353.88
2004,73.27,6.6978498,3.54,24.5424,4710,34847.16
2005,73.46,6.556486,3.53,21.0129,5230,36376.83
2006,73.65,6.4190946,3.32,16.7456,5770,37971.89
2007,73.84,6.475966,3.23,16.1247,6540,39606.28
2008,74.03,6.9709706,3.32,14.0386,7400,41341.12
2009,74.216,6.8085785,3.66,18.4646,7470,43120.14
2010,74.402,6.9415693,3.39,18.4062,8110,44976
2011,74.588,6.9713326,3.05,20.977,8890,46911.99
2012,74.774,7.1809983,3.1,19.8512,9980,48931.55
2013,74.96,8.019667,3.16,19.4543,10600,51073.17
2014,75.154,8.006472,2.88,19.8006,10870,53343.35
2015,75.348,7.580128,3.1,19.8107,10400,55748.76
2016,75.542,7.5117126,3.44,20.9357,9880,58296.17
2017,75.736,7.63407,3.41,21.3158,9680,60992.48
2018,75.93,8.092997,3.3,19.6433,10360,63804.69
2019,76.074,8.154313,3.26,17.6856,10960,66777.88
2020,76.218,8.109902,4.54,15.4426,10320,69919.3
2021,76.362,8.3059,4.046,16.3746,10710,73192.97
2022,76.506,8.576508,3.73,20.2048,11780,76647.75
